,Quantile_auto_st_ff,Quantile_auto_st,Quantile_cons_st_ff,Quantile_cons_st,Quantile_auto_tt_ff,Quantile_auto_tt,Quantile_cons_tt_ff,Quantile_cons_tt,gmm_auto_st_ff,gmm_auto_st,gmm_cons_st_ff,gmm_cons_st,gmm_auto_tt_ff,gmm_auto_tt,gmm_cons_tt_ff,gmm_cons_tt,gmm_threshold_st_ff,gmm_threshold_st,gmm_threshold_tt_ff,gmm_threshold_tt,KBI,PUB,MeanDur_L,MeanDur_R,MeanDur_S,MeanIKI,MedianIKI,GMM_Threshold_LogIKI,gmm_iki_auto,gmm_iki_cons,Quantile_iki
Quantile_auto_st_ff,1.0,0.9432190448000465,0.8395521516315767,0.8447533797818164,0.7971203879298282,0.8897520054217957,0.7135115376317301,0.7955898357022682,0.8515183751614169,0.8804508724921112,0.49973164473666876,0.7116307262284585,0.8278951445175645,0.8978759564576874,0.5750661259476085,0.7971152443755295,0.8209364801046727,0.8929041871354633,0.7112234526821732,0.8574499639713401,0.10419832146514398,0.15971253551592438,0.23112904280052315,-0.07004424835591587,0.539715306888289,0.08656636995861382,0.12666638037205885,0.1505174003981061,-0.020972754467929008,0.14300131903511623,0.24619839368278645
Quantile_auto_st,0.9432190448000465,1.0,0.8381941021060648,0.8854066089833803,0.8686391892725903,0.936680321656252,0.7825038331031098,0.8541716314550469,0.8364716275907005,0.875992270262082,0.4993479867474612,0.7473621464187213,0.858552318984343,0.9161890830653024,0.6181687396733869,0.8415877024363411,0.8097077164706837,0.9085870741031565,0.7571136830224054,0.8867313478057054,0.15851934146642038,0.19965877490628736,0.2850851503011997,-0.019158843099221157,0.5859124674981611,0.1023145371426389,0.17957617721861346,0.11334333721355158,-0.04539048123785343,0.13404949039786862,0.27972271202995486
Quantile_cons_st_ff,0.8395521516315767,0.8381941021060648,1.0,0.9547821452681579,0.7249957701424279,0.7849102285179939,0.7519727662279364,0.8161007421131516,0.7737953143543964,0.8046927813239027,0.47933989196095617,0.6875712956463881,0.7466424293711394,0.7998022502737816,0.5682679419058849,0.7462293107071036,0.7235206888533962,0.7966603336328508,0.6005211601880092,0.7558770108189622,0.10201680859491417,0.14848499475547633,0.2883684393064248,-0.032686119404123325,0.5878942931701282,0.13066781088543447,0.11983709654984441,0.12454230354693678,-0.06313898774172708,0.10633096173467256,0.1993230841361562
Quantile_cons_st,0.8447533797818164,0.8854066089833803,0.9547821452681579,1.0,0.7901466521339071,0.8361874831543216,0.8194413550374722,0.875681186077337,0.7834759559006234,0.8431158055051546,0.4920630778850082,0.7285692172205227,0.7966534232702154,0.845017127340922,0.6032975397606164,0.798014055370703,0.7369028861795881,0.8412577118052629,0.6571440217337997,0.802642286984066,0.1830593684229992,0.23852389712560806,0.3332016504332785,0.04288796369318035,0.6445725878238313,0.18152210365118882,0.20185301919587603,0.12374130930163119,-0.05476292371023295,0.17360808640658001,0.2950480899136405
Quantile_auto_tt_ff,0.7971203879298282,0.8686391892725903,0.7249957701424279,0.7901466521339071,1.0,0.9223496227614502,0.8950382384553621,0.9086682961968894,0.7310718110247868,0.7630288641769254,0.4286314417649732,0.6433677467499157,0.888878123038803,0.8601484768011853,0.6915153338215568,0.8250197389946494,0.6783318606754118,0.7761452088519905,0.7818369809793423,0.8536840552317918,0.16551451790011296,0.16562166483100121,0.4083400708549573,0.16606000365291199,0.5627828845943218,0.037009795661334804,0.19328801052193928,0.11790779403780874,-0.03418732098873169,0.09569847025395263,0.27190162455092715
Quantile_auto_tt,0.8897520054217957,0.936680321656252,0.7849102285179939,0.8361874831543216,0.9223496227614502,1.0,0.8203210174858336,0.9018423314738708,0.8401754890356322,0.8745668597626135,0.4901004501193959,0.7151107441958771,0.893237458041174,0.9488484308740139,0.6663984988385747,0.8744646420419009,0.7934279698618657,0.8848677998005355,0.7891712859695966,0.924815233057489,0.14654201931736233,0.1805885221596692,0.2661005959795932,0.03845278583805585,0.5658329279619864,0.055659397258976895,0.17369084930790066,0.15742181645440004,-0.03856462006625291,0.12118176601126616,0.2870010187464587
Quantile_cons_tt_ff,0.7135115376317301,0.7825038331031098,0.7519727662279364,0.8194413550374722,0.8950382384553621,0.8203210174858336,1.0,0.9459230570176549,0.6779662222601797,0.7153360478156632,0.42496964696900924,0.6258780762216308,0.8392736883355112,0.7997834999867717,0.7208099145465963,0.8204490601804566,0.6161410773246343,0.7178681287294854,0.7401501344690298,0.8134739039297725,0.2528266497273089,0.2409361792881088,0.5224529765067671,0.22250155046481415,0.6945457401093617,0.13503117291139707,0.2781260103522957,0.06048362089336553,-0.0483721929301355,0.1329261047249422,0.3289050121673606
Quantile_cons_tt,0.7955898357022682,0.8541716314550469,0.8161007421131516,0.875681186077337,0.9086682961968894,0.9018423314738708,0.9459230570176549,1.0,0.7375491702084813,0.7923834861865493,0.47323858518760975,0.6872462683205817,0.8595282177422795,0.8813372203950816,0.7141167009096477,0.8914379232418196,0.6970977026536667,0.7939404625314126,0.7576613072930959,0.8761612769890944,0.20845112795580742,0.21154634902408898,0.4238333805190303,0.15360603346923074,0.6750272000992454,0.08935219534718397,0.23224445441745195,0.11869174500638963,-0.035548285006627996,0.1249629511048123,0.30977481162379533
gmm_auto_st_ff,0.8515183751614169,0.8364716275907005,0.7737953143543964,0.7834759559006234,0.7310718110247868,0.8401754890356322,0.6779662222601797,0.7375491702084813,1.0,0.9092972512548516,0.632734403461055,0.7281146831432728,0.8087372920053912,0.8800005150006399,0.5998421168374273,0.7807103970897618,0.8378171547261736,0.881663943787314,0.7116533472069078,0.8290428269264934,0.1202656983603289,0.16984048756173434,0.12949119292330852,-0.06789845226633931,0.5489641734275638,0.0999172731921612,0.14582761691554869,0.16150483635600107,-0.01653973404659765,0.1796965260880315,0.2696068084184085
gmm_auto_st,0.8804508724921112,0.875992270262082,0.8046927813239027,0.8431158055051546,0.7630288641769254,0.8745668597626135,0.7153360478156632,0.7923834861865493,0.9092972512548516,1.0,0.5670992467300774,0.8046371674628409,0.8457508880605864,0.9260270536701628,0.6155122098038671,0.8290180842304349,0.8462501957724993,0.9196434068008985,0.7281173145332789,0.8670353338907651,0.11735186523536613,0.1770794819598164,0.15390699820982987,-0.06313467861013115,0.5851541892862538,0.09474212707122943,0.14730222599106682,0.19001150660231886,-0.00492748793177777,0.20632650546449838,0.2911175587715409
