Study	Session	Study-Session	PercGaze	Lang
ST19	P04_T1	ST19/Tables/P04_T1	70.77%	EN-DE
ST19	P26_T3	ST19/Tables/P26_T3	69.48%	EN-DE
ST19	P15_T2	ST19/Tables/P15_T2	68.17%	EN-DE
ST19	P52_T1	ST19/Tables/P52_T1	67.52%	EN-DE
ST19	P54_T3	ST19/Tables/P54_T3	67.04%	EN-DE
ST19	P13_T4	ST19/Tables/P13_T4	67.00%	EN-DE
ST19	P17_T4	ST19/Tables/P17_T4	66.76%	EN-DE
ST19	P10_T3	ST19/Tables/P10_T3	63.75%	EN-DE
ST19	P35_T2	ST19/Tables/P35_T2	62.90%	EN-DE
ST19	P11_T2	ST19/Tables/P11_T2	62.24%	EN-DE
ST19	P12_T1	ST19/Tables/P12_T1	61.91%	EN-DE
ST19	P21_T4	ST19/Tables/P21_T4	61.88%	EN-DE
ST19	P58_T3	ST19/Tables/P58_T3	58.65%	EN-DE
ST19	P18_T3	ST19/Tables/P18_T3	58.55%	EN-DE
ST19	P53_T4	ST19/Tables/P53_T4	58.34%	EN-DE
ST19	P55_T3	ST19/Tables/P55_T3	56.58%	EN-DE
ST19	P37_T4	ST19/Tables/P37_T4	54.25%	EN-DE
ST19	P34_T3	ST19/Tables/P34_T3	53.62%	EN-DE
ST19	P29_T4	ST19/Tables/P29_T4	48.96%	EN-DE
ST19	P14_T3	ST19/Tables/P14_T3	45.81%	EN-DE
ST19	P30_T3	ST19/Tables/P30_T3	42.51%	EN-DE
ST19	P24_T1	ST19/Tables/P24_T1	37.87%	EN-DE
